Gene name	Pig gene name
KIR3DL2	
	
PRODH	
KIR2DL4	
KIR2DP1	
KIR2DL4	
	
KIR2DS4	
FAM157A	
KIR2DL1	
	
	
	
	
	
RNU6-821P	
U6	
	
	
	
KIR2DL1	
KIR3DL2	
ANKRD18DP	
U6	
DNAH10	
	
	
KIR3DL2	
U6	
	
U6	
KIR3DL3	
SUDS3P1	
	
	
PROP1	
KRTAP9-2	
KRTAP9-10P	
	
KIR2DS4	
KRTAP9-4	
	
	
DLGAP2	
KRTAP9-6	
KIR2DL2	
KRTAP9-7	
	
KIR3DL3	
KRTAP29-1	
	
	
	
	
KRTAP9-12P	
ERICH1	
KRTAP9-11P	
RPS17	
KRTAP9-9	
	
	
KIR2DL5B	
KIR2DL1	
KIR2DS2	
KIR2DL2	
KIR3DL2	
KIR3DL3	
CTDP1-DT	
	
LILRP1	
	
KIR2DP1	
	
	
U6	
	
FTCD	
KIR3DP1	
	
	
	
	
	
	
CTDP1	
	
KIR2DL2	
	
	
KIR2DS2	
SUDS3P1	
PROP1	
KIR2DS4	
DLG5-AS1	
LILRP1	
	
U6	
	
CCDC92	
RN7SL284P	
RNU6-1266P	
U6	
LILRP2	
KIR2DL4	
KIR3DP1	
Y_RNA	
	
	
	
U6	
KIR3DP1	
KIR3DL2	
DNM1P38	
	
CRIM1	
	
RPL21P36	
CRIM1-DT	
CPEB1	
	
KIR3DL1	
KIR2DL4	
NCR1	
RNU6-222P	
	
FTCD-AS1	
LSS	
KIR2DL3	
KIR2DL1	
	
	
KIR3DS1	
GARRE1	
	
PRB1	
	
SKA1	
	
KIR2DS4	
DSEL-AS1	
DSEL	
LSM14A	
GOLGA8DP	
	
KIR2DP1	
	
KIR2DL4	
	
CYFIP1	
KIR3DL3	
U6	
LILRP2	
KIR2DS4	
	
	
SEPTIN9-DT	
NCR1	
SEPTIN9	
	
ABCB10P1	
TUBGCP5	
KIR2DL5B	
MAPK4	
KIR3DL2	
NCR1	
KIR3DL2	
	
	
ZNF965P	
RNA5SP458	
GXYLT1P1	
CYP4F34P	
CNN2P12	
SNX18P26	
LINC00328-2P	
ANKRD20A9P	
RNU6-55P	
U6	
	
SPATC1L	
GOLGA6L1	
U6	
KIR2DL1	
APOBEC3B-AS1	
KIR3DL1	
MPHOSPH10P5	
	
APOBEC3A	
	
	
	
GOLGA6L1	
Metazoa_SRP	
GOLGA8DP	
KIR3DL2	
	
	
	
CNTNAP2	
	
	
	
ABCB10P1	
SLC45A2	
	
TUBGCP5	
SMN2	
	
RXFP3	
	
ADAMTS12	
	
	
DLGAP2-AS1	
DLGAP2	
U6	
ELMO2P1	
	
LINC02549	
AP2A2	
KIR2DL1	
KIR3DL3	
	
U3	
Metazoa_SRP	
ABCB11	
KIR2DS1	
KIR2DP1	
KIR3DL2	
KIR2DL4	
G6PC2	
AADACL2	
U6	
	
KIR3DP1	
KIR2DS4	
SPC25	
METRNL	
	
LINC02066	
AADACL2-AS1	
	
	
KIR3DL1	
KIR2DL5A	
GOLGA6L9	
	
U6	
GART	
KIR2DS1	
DECR2	
U6	
KIR3DP1	
	
LILRP1	
	
LILRP2	
TBCD	
	
NOSTRIN	
CDH12P2	
KIR2DL1	
RNU6-1025P	
	
	
MUC6	
GTF2H2	
	
UBE2Q2P6	
GOLGA6L10	
FRG1-DT	
RPS5P3	
DNAJC28	
	
GOLGA6L10	
LINC01596	
	
RNU1-51P	
IFNGR2	
KIR2DS3	
	
GNG5P1	
	
KIR3DL3	
	
KIR2DS2	
KIR2DL5B	
	
	
KIR2DS3	
LRRC56	
CSPG4P10	
	
	
KIR2DL4	
GOLGA6L17P	
	
SLC25A51P1	
ADH5P4	
GOLGA2P10	
MPHOSPH10P5	
Metazoa_SRP	
KIR3DL2	
KIR2DL1	
ELMO2P1	
	
KIR2DS2	
	
KIR2DS4	
KRT20	
PHRF1	
GOLGA6L22	
	
KIR3DL3	
RAB11FIP3	
KRTAP3-1	
KRTAP5-6	
	
HERC2P7	
KRTAP3-2	
KRTAP5-1	
SPATA31E3P	
KRTAP5-4	
	
MPHOSPH10P9	
ADAMTS7P1	
KRTAP4-9	
Metazoa_SRP	
Metazoa_SRP	
TMEM50B	
GOLGA8EP	
KRTAP2-4	
B3GNTL1	
	
KRTAP5-5	
KRT23	
KIR3DS1	
FAM99A	
	
LINC02708	
KRTAP5-AS1	
U6	
	
	
	
	
HERC2P2	
DUSP8	
KIF26B	
	
	
UBE2Q2P2	
	
FAM99B	
IFITM10	
KIR3DL2	
UBE2Q2P2	
KRTAP5-3	
KRTAP5-2	
GOLGA8IP	
GOLGA8IP	
KIR2DL4	
SDHAP2	
MUC20-OT1	
	
LINC00235	
KIR3DL1	
CAPN15	
	
Y_RNA	
KRT40	
U1	
	
	
PAXBP1	
U1	U1
	
	
KRTAP1-1	
	
C21orf62	
KRTAP4-11	
	
KRTAP2-5P	
KRTAP1-3	
U6	
KRTAP4-16	
KRT12	
C21orf62-AS1	
KCNIP4	
KIR2DL3	
	
KRTAP1-5	
KIR2DS3	
	
KRT39	
	
	
KIR3DS1	
	
KRTAP3-4P	
KIR2DL2	
KRTAP2-1	
MEGF11	
RPL4P5	
LILRP1	
KRTAP3-3	
KIR2DP1	
KRTAP2-3	
KIR2DL5A	
KRTAP4-12	
KRTAP1-4	
	
KIR3DL3	
KRTAP4-8	
RPS6P22	
LRIG3-DT	
	
SDHAP2	
	
	
ABR	
MUC20-OT1	
LILRP2	
KIR2DL2	
KIR2DL1	
U6	
KIR3DL3	
KIR3DP1	
	
	
	
SERF1B	
	
KIR2DS1	
DIS3L-AS1	
	
KIR2DL5A	
LMNTD2	
KIR2DL4	
GOLGA8F	
CYP2D8P	
	
KIR2DL3	
NAIP	
	
NDUFA6-DT	
U6	
KIR3DP1	
OLA1P1	
	
	
	
	
NDUFA6	
KIR3DL1	
MUC20-OT1	
MIR210HG	
TNFRSF14	
HERC2P11	
MUC20	
SMDT1	
	
	
RNH1	
	
SMDT1	
	
GOLGA8G	
	
CYP2D6	
LINC00824	
OLA1P1	
NDUFA6	
	
U1	
	
	
	
MUC4	
	
	
MUC20-OT1	
	
U6	
	
LILRP2	
MREGP1	
	
MCCC2	
CYP2D6	
NDUFA6	
	
TCF20	
SINHCAF	
	
	
GOLGA6L22	
	
ABCB10P4	
TCF20	
	
	
KCNQ2-AS1	
GOLGA6L25	
SMDT1	
KCNQ2	
	
	
	
KIR2DS2	
HERC2	
KIR3DL2	
NDUFA6-DT	
	
NDUFA6-DT	
	
	
	
LILRP1	
BDP1	
	
KIR2DP1	
Metazoa_SRP	
FLJ13224	
	
Metazoa_SRP	
OLA1P1	
	
	
	
	
KIR2DL4	
CYP2D8P	
MUC4	
CYP2D7	
	
TTC34	
CYP2D7	
MUC20-OT1	
	
	
MMEL1	
ICE2P1	
DRD4	
LINC01060	
KIR3DL3	
IFITM4P	
ZNF90P2	
OR11A1	
DEAF1	
OR2B3	
HLA-G	
RPL7AP27	
TIMM22	
KIR2DL4	
NXN	
Metazoa_SRP	
	
IRF7	
MUC20	
KIR2DS4	
KIR2DL1	
OR2AS2P	
OR2T6	
OR2T2	
	
OR2J3	
OR2T4	
RPS17P1	
OR5V1	
OR2T7	
OR2T1	
	
OR2T3	
MUC4	
MICD	
OR2G1P	
LILRA4	
OR14J1	
WASF5P	
OR2T5	
SMN1	
	
PTMAP1	
	
OR11A1	
LINC03003	
LY6G6F	
KIR3DL3	
	
NOP56P1	
SDHAP2	
LINC02569	
TMEM183AP1	
LAIR1	
PSORS1C1	
OR2J4P	
	
HCG18	
MUC20	
OR8U9	
OR8J2	
FAM8A2P	
NAA50P1	
OR8U8	
OR8L1P	
	
HLA-T	
OR5T3	
KIR2DL3	
OR2W1	
	
CLK2	
OR5T2	
PPP1R11	
	
	
LINC02197	
OR8K2P	
OR8I1P	
	
OR8K3	
	
	
OR8H1	
SERF1A	
LILRP2	
	
HCG14	
	
	
MAS1LP1	
	
HCG4	
KIR2DS4	
MUC4	
SUMO2P1	
OR5T1	
	
KRTAP5-2	
MDC1-AS1	
MMEL1-AS1	
POLR1HASP	
KIR3DL1	
LINC02708	
RPL5P29	
PANK4	
FAM99B	
OR8K1	
FAM99A	
OR8J1	
	
DDR1-DT	
KRTAP5-3	
LILRP2	
LINC01623	
KRTAP5-4	
NEU1	
KRTAP5-1	
	
KRTAP5-5	
HRAS	
KRTAP5-AS1	
OR2U1P	
OR2N1P	
ZNF311	
	
DUSP8	
RPL7P4	
TRIM31-AS1	
OR2AD1P	
	
	
PMCHL2	
PMCHL2	
MAS1L	
RPL7AP7	
LTB	
OR2H2	
	
LINC00533	
OR2U2P	
LINC01556	
ATAT1	
OR2N1P	
PSORS1C1	
LINC01015	
APOM	
KIR3DX1	
ZFP57	
RPS17P1	
OR2J3	
LILRB2	
	
OR2H4P	
TRIM26BP	
MUC22	
RPS9	
RPL13AP	
RPSAP2	
GNL1	
	
PPP1R10	
PKLR	
OR2B3	
MUC4	
LINC01556	
	
TRIM10	
TMPOP1	
PSMB9	
	
VSTM1	
	
MBOAT7	
SNTB2	
LMNTD2-AS1	
PLCH2	
UTP4	
RASSF7	
C4B_2	
KIR3DL2	
	
KIR2DS2	
KIR3DL1	
	
	
HLA-T	
OR2J1	
RPL13P	
OR2I1P	
TSBP1-AS1	
MTX1P1	
	
ZNF90P2	
SCAMP3	
HLA-B	
GABBR1	
LAIR2	
CDHR5	
MRPS18B	
ZFP57	
HES5	
LILRB4	
TNFRSF14-AS1	
HCG17	
HCG18	
Y_RNA	
U6	
	
NLRP2	
KIR2DS2	
PRXL2B	
	
CTSO	
GBA1	
	
	
HLA-W	
	
HCG4B	
	
HCG27	
UGT2A3	
NRM	
CNOT3	
KIR2DL4	
PSMB1	
	
	
ASIC5	
FAM120B	
TDO2	
NDUFA3	
UGT2B27P	
	
	
UGT2B29P	
KIR3DP1	
UGT2B10	
	
LY6G5C	
	
	
LILRA6	
UGT2B15	
	
	
MT2P1	
	
	
	
HSPA1A	
TMPRSS11E	
MAFIP	
LENG1	
OR2P1P	
NOP56P1	
UBDP1	
OR2H5P	
HLA-F-AS1	
NDUFA3	
LILRP1	
KIR3DL3	
	
HSPA1L	
ABHD16A	
	
	
GPSM3	
HNRNPA1P2	
STK19	
LILRP1	
	
RNA5-8SN4	
5_8S_rRNA	5_8S_rRNA
RPS9	
	
	
LILRB1	
	
	
YTHDC1	
	
SCT	
KIR3DL3	
MAD2L1-DT	
PTDSS2	
TMC4	
DLL1	
OR2I1P	
LILRA5	
OR2W1	
KIR2DL4	
MICC	
LSM2	
LINC01624	
RDH13	
	
TSEN34	
OR2W1	
LILRA4	
NOP56P1	
HCN3	
	
	
OR14J1	
TRIM27	
ZBED9	
RPS9	
LILRA2	
OR12D2	
ENTREP3	
	
OR5V1	
LAIR1	
KRT18P1	
NCR1	
LINC01623	
PRRT1	
PTPRN2	
MRPS18B	
MBOAT7	
RPP21	
DENND11	
NLRP7	
LINC02982	
NKD2	
LY6G6E	
HCG4	
HCG21	
MRPS18B	
WEE2-AS1	
HCG14	
RPL13P	
	
ZNF311	
OR12D3	
	
DDX39BP2	
PCGF7P	
OR2J2	
ZNF729	
ZNF676	
OR2B3	
MICB	
NAIP	
LINC01623	
OSCAR	
LINC01015	
	
ZNF92P2	
	
MTDHP5	
VN1R85P	
OR2B3	
BNIP3P31	
HCG22	
BNIP3P30	
LST1	
RPL13P	
LINC03003	
SSBP1	
RPP21	
LINC01194	
LST1	
SLC12A7	
LILRB2	
TCF19	
	
TFPT	
PSORS1C1	
GP6	
KIR2DL2	
NEU1	
DEFB104B	
HCG21	
RPL7P4	
OR14J1	
PSORS1C3	
KIR2DL1	
DEFB105B	
LINC01623	
SLC5A8	
LILRA3	
BTNL2	
PRR23D1	
	
TFPT	
TSBP1-AS1	
DEFB4B	
	
SAPCD1	
PRPF31	
FAM90A7	
ANO4	
DEFB103B	
LILRA2	
NLRP7	
PPP1R11	
	
DEFB108C	
FAM90A22	
KIR2DS4	
	
OR7E157P	
	
	
HSPD1P3	
FAM90A21P	
KIR3DX1	
ZNF705G	
PSORS1C2	
LILRP2	
	
DEFB107B	
U6	
HCP5	
	
KIR3DL2	
AGK	
FAM90A6P	
OR2H4P	
SPAG11B	
C2	
TRIM39	
TARM1	
	
	
	
CEACAM4	
WEE2	
OR2I1P	
KIR3DS1	
MAS1LP1	
OR12D2	
PLEKHA3P1	
DNAJC19P2	
CEACAM21	
HLA-W	
NDUFB9P1	
TNXA	
TAF9	
MTCO3P1	
HLA-DRB4	
	
LILRB2	
U1	
KIR2DL3	
CNOT3	
DEFB106B	
	
FAM66B	
	
FAM90A23	
RPL7AP55	
OR10A3	
POLR1H	
KIR2DS1	
	
OR5P2	
OR5E1P	
OR5P3	
	
OR10A6	
RAD17	
NLRP10	
OR2J3	
HLA-H	
MICB	
DNAJC19P3	
TPM3P5	
	
	
LINC01480	
HLA-DRA	
CEACAM7	
U6	
KIR2DP1	
	
	
BTNL2	
U6	
KIR3DP1	
LINC01149	
KIR3DL2	
MCCD1P2	
	
CEACAMP3	
PSMB9	
	
	
KIR2DS5	
FCAR	
KIR2DP1	
POMZP3	
LILRB3	
	
	
SDHAP2	
LILRB1	
OR2U2P	
DDAH2	
TRIM10	
	
	
HLA-DQB1-AS1	
TRIM39	
LILRA6	
ATAT1	
KIR2DL2	
UPK3B	
	
FAM20C	
CCDC188BP	
LINC01659	
	
	
	
FAM157D	
FAM230I	
	
	
LINC03015	
RPL15P4	
LY6G6E	
ATP23	
	
LINC03014	
LINC02557	
HLA-P	
ZDHHC8BP	
	
RPL13P	
VWA7	
MICG	
SPDYE16	
RNF39	
	
LINC02403	
KIR2DS1	
	
	
CES5AP1	
	
GIHCG	
KIR3DL2	
DTX2	
KIR3DL3	
RN7SKP65	
	
ZNF90P2	
MUC21	
HCG15	
NLRP7	
TRIM31-AS1	
KIR2DS4	
TNF	
PRAMEF5	
OR11A1	
HLA-H	
RPS17P1	
OR2H1	
MOG	
	
	
	
	
PRAMEF22	
PRAMEF18	
HCG4P8	
TMEM183AP1	
KSR1P1	
DDR1	
IGKV1OR10-1	
PABPC1P8	
	
	
	
	
	
	
	
	
PRAMEF8	
TBX22	
CNOT3	
	
HNRNPCL2	
LINC03009	
LINC03009	
PRAMEF25	
KIR3DP1	
KIR3DL2	
	
HNRNPCL4	
PRAMEF33	
PRAMEF9	
TCF19	
MUC20	
	
U6	
	
RXRB	
TRBV11-1	
KIR3DP1	
TARM1	
	
LENG1	
MTCO3P1	
VSTM1	
TRBV7-6	
LY6G6F-LY6G6D	
KIR2DL5A	
	
TMEM179	
TRBV10-1	
NLRP7	
HLA-DQB3	
LINC02570	
TAP1	
TRBV5-2	
TRBV7-4	
LSM2	
TRBV5-5	
LINC01596	
	
HSP90AA4P	
B3GALT4	
TRBV11-3	
LINC01262	
TRBV1	
TRBV19	
	
	
FRG1-DT	
TRBV12-4	
HLA-DQB3	
TRBV7-1	
SNHG32	
U1	
TRBV25-1	
MUC2	
C14orf180	
TRBV17	
TRBV5-3	
TRBV7-9	
TRBV5-7	
TRBV27	
TRBV7-2	
TRBV21-1	
TRPV5	
VSTM1	
TRIM31-AS1	
C2	
VSTM1	
DLGAP2-AS1	
LILRA3	
DLGAP2	
PHLDA2	
CLIC1	
LILRP1	
CARS1	
MICG	
OR2H4P	
RPL7AP7	
OR2J3	
LILRB5	
	
DDX39B-AS1	
KIR2DP1	
LILRA5	
	
HLA-DQB1-AS1	
SLC39A11	
RPL3P2	
PRPF31	
HLA-A	
LINC02688	
EGFL8	
AP2A2	
NLRP2	
FAM138D	
	
	
IQSEC3	
TOMM40P4	
CDRT15P3	
	
TRBV12-5	
TRBJ2-2P	
TRBJ1-6	
TRBJ1-5	
	
	
TRBV11-2	
HLA-DMB	
LILRB5	
TRBV20-1	
GP6	
	
TRBV10-2	
OSCAR	
LLCFC1	
TRBV9	
LRRC37A2	
GP6	
DDX11L8	
PRSS3P1	
PRH2	
MUC20	
	
TRBC1	
TRBJ2-1	
TRPV6	
	
MICB	
DDX6P1	
IQSEC3-AS1	
RNF39	
MDC1-AS1	
	
WASH8P	
MSH5	
RNU6-1025P	
MUC6	
SDHAP2	
RPH3AL-AS2	
	
	
RPH3AL-AS1	
TAS2R30	
TAS2R19	
	
	
TAS2R8	
TAS2R7	
RPH3AL	
PPIAP9	
	
PFDN6	
TAS2R50	
	
TAS2R43	
U6	
TAS2R14	
MBOAT7	
TSEN34	
TAS2R9	
	
TAS2R45	
TAS2R31	
TAS2R13	
TAS2R46	
TAS2R20	
TAS2R15P	
NDUFA3	
	
PRR4	
RPS9	
	
U6	
OSCAR	
ZNF90P2	
GP6	
GNL1	
MROH5	
HLA-DRB4	
	
	
MAPT-IT1	
	
LINC01300	
MAPT	
RDH13	
MAMDC2-AS1	
MAMDC2	
	
	
	
HNRNPA1P38	
LILRA5	
PTP4A3	
BTG3-AS1	
BTG3	
TRBV6-7	
HLA-DMA	
TSBP1	
OR2J3	
Y_RNA	
PRSS2	
NLRP7	
LTA	
TFPT	
TRBV7-3	
TRBV18	
PRSS1	
NDUFA3	
	
U2	
	
RDH13	
	
LILRB2	
NLRP2	
SMIM10L1	
	
TAS2R64P	
TAS2R10	
	
MBOAT7	
TAS2R63P	
GPR20	
	
POLR1H	
	
KIR3DX1	
MBOAT7	
	
GOLGA6L24	
LILRB1	
ENTREP2	
LINC03003	
TRBV23-1	
	
TMC4	
HCG4P8	
NLRP2	
HCG9P5	
GP6	
ZFP57	
	
OR2H5P	
MDC1	
OR5V1	
GPR53P	
OR2J2	
VARS1	
TRBV5-4	
PRSS3P2	
LILRA6	
TMEM183AP1	
HLA-DRB9	
MSH5-SAPCD1	
TSEN34	
KIR2DL2	
OR6V1	
	
OR9P1P	
	
PGBD4P1	
TRBJ1-4	
MPHOSPH10P7	
	
MGAM2	
	
	
APBA2	
RPS9	
AZU1	
	
	
	
	
	
	
	
PRPF31	
HCG14	
OR12D1	
HLA-Z	
C6orf15	
APOM	
HLA-G	
TFPT	
	
GPI	
CNOT3	
IGKV1D-8	
IGKV3D-7	
TFPT	
	
PRTN3	
IGKV1OR2-118	
	
C22orf15	
	
CDK7	
	
ETF1P1	
HLA-P	
PRPF31	
CNOT3	
GPR53P	
DDR1-DT	
BRD2	
SMARCB1	
	
LINC02829	
KIR3DP1	
OR9A2	
HLA-Z	
HLA-K	
TRBV13	
OR11A1	
NLRP2	
TRBV28	
TRBJ2-2	
EPHB6	
OR2H5P	
PPT2	
	
HCG27	
ARMC10	
MUC22	
PLPPR3	
	
HLA-P	
PRPF31	
MED16	
HSPA1L	
KIR3DL3	
TSEN34	
ATP9B	
HLA-DQB3	
SALL3	
TRIM27	
RPL32P1	
OR2J1	
LENG1	
DDX39BP1	
HCG4P8	
DHX16	
SCGB1C2	
LINC01896	
TARM1	
RPS9	
LENG8	
EHMT2	
RPL23AP95	
TARM1	
NAPEPLD	
OSCAR	
	
LINC02091	
RPH3AL	
EGFL8	
	
	
TMC4	
KIR3DP1	
LILRB4	
HLA-K	
OR2N1P	
HSPA1B	
GABBR1	
RING1	
ELANE	
	
HERC2	
RDH13	
KIR2DL1	
	
ATP6V1G3	
TTYH1	
HLA-DRB2	
NCR3	
LENG1	
CFD	
U6	
TMC4	
	
	
	
	
PTPRC	
ABCB10P3	
TUBB	
GOLGA8G	
CHCHD10	
	
CRYZP1	
NDUFA3	
MMP11	
DPY19L2P2	
	
	
KIR2DS4	
KIR3DL2	
TRBV6-5	
TRBV14	
RPSAP2	
TRBV12-1	
PPP1R2P1	
	
TRBV4-2	
OR10C1	
	
TRBV5-1	
TTYH1	
HLA-N	
DPY19L2P2	
HLA-DQB2	
	
GARRE1	
TRBJ2-6	
TRBV7-7	
TRBV2	
NDUFA3	
MGAM	
U6	
CNOT3	
	
HERC2P1	
OCA2	
MSH5-SAPCD1	
TRIM39	
	
	
SERPINF1	
	
GTF2H2	
RPH3AL-AS1	
	
LY6G6C	
DERL3	
SCARF1	
DOC2B	
LENG1	
	
PLEKHM1	
TFPT	
KCNQ1	
	
	
	
	
RPP21	
TAMM41	
PRPF31	
TRBV16	
TRBVB	
TRBV6-1	
	
CCL4L2	
TRIM27	
RPH3AL-AS2	
PRSS58	
LINC02887	
KCNQ1-AS1	
U6	
NAP1L4	
RDH13	
TRBV24-1	
TRBJ2-7	
TRBJ1-3	
	
TRBVA	
NLRP7	
TRBV26	
TRBV4-1	
TRBC2	
U2	
TRBV8-1	
TRBV22-1	
TRBV10-3	
	
CCL3-AS1	
TRBJ1-1	
TRBJ2-3	
TRBV7-5	
TBC1D3I	
TRBJ2-5	
TRBV5-6	
TRBV12-2	
TRBV6-4	
TRBJ1-2	
	
SALL3	
	
TRBD1	
	
ARHGAP27	
TRBJ2-4	
RPL5P32	
SLC2A11	
	
	
TRBV6-2	
	
ABCB10P4	
GOLGA8M	
TRBV30	
	
	
TRBV12-3	
NSMCE3	
	
TRBV3-1	
RPL41P2	
GOLGA6L25	
TRBV8-2	
	
WBP1LP1	
	
TRBV6-8	
	
Metazoa_SRP	
TRBV29-1	
CHRFAM7A	
TRBV6-6	
TRBV15	
KEL	
GSDMD	
MARK2P14	
NUP210P2	
	
IGLV3-31	
Metazoa_SRP	
IGLV1-40	
	
TRIM26	
	
ASH2LP1	
LL22NC03-63E9.3	
IGLV3-30	
IGLV1-44	
LTB	
	
IGLV3-32	
LINC01896	
ZNF251	
KIR3DL3	
ZNF280B	
CUTA	
ATP9B	
	
IGLVI-38	
IGLV2-34	
IGLV5-37	
IGLV7-43	
	
IGLVVII-41-1	
IGLVI-42	
IGLV1-41	
	
IGLV1-36	
ZNF280A	
U6	
TNXB	
ARHGAP11B	
	
	
IGLV2-33	
IGLV5-45	
PEBP1P3	
	
PRAME	
Metazoa_SRP	
U8	
Y_RNA	
ARHGAP11A	
KIR3DL1	
	
NLRP2	
Y_RNA	
CEP72-DT	
MCCD1P1	
HLA-T	
	
KIR2DP1	
CEP72	
	
POLR1HASP	
	
BAG6	
	
SLC9A3	
TLCD2	
LINC01238	
	
	
	
	
	
LINC01880	
	
	
TMC4	
	
WDR81	
	
	
	
MUC20	
KIR2DL3	
TSEN34	
PRSS3P3	
KIR3DL2	
	
	
KIR3DL3	
MBOAT7	
TMPOP1	
	
PRSS59P	
	
U2	
MDC1	
MOXD2P	
CCL3L3	
MUC20-OT1	
	
LINC01238	
OR2J2	
OR6W1P	
	
RPS9	
	
IFITM4P	
	
TNXB	
LILRB5	
LINC01880	
TBC1D3B	
	
OR2U1P	
HCG27	
	
RPL15P4	
PPT2	
TRPM1	
	
	
CCL18	
	
IGLV7-35	
TARM1	
GP6	
	
LILRA6	
TARM1	
MBOAT7	
	
	
MRPS16P3	
CCL4L2	
APOL5	
RNF39	
RBFOX2	
CNOT3	
	
OSCAR	
TRIM15	
ZC3H3	
HLA-E	
PYCR3	
ABR-AS1	
TRARG1	
LENG9	
NXN	
	
	
TSEN34	
YWHAE	
