"human.gene.name","gene.name","human.homology.type","human.gene.order.conservation.score","human.whole.genome.alignment.coverage","human.orthology.confidence..0.low..1.high."
"TXNDC9","Txndc9","ortholog_one2one",100,100,1
"OR51L1","Olfr587-ps1","ortholog_one2one",25,100,0
"ZNF23","Zfp612","ortholog_one2one",100,100,1
"LHFPL2","Lhfpl2","ortholog_one2one",100,100,1
"HELT","Helt","ortholog_one2one",100,100,1
"ETV1","Etv1","ortholog_one2one",100,100,1
"MEP1B","Mep1b","ortholog_one2one",100,100,1
"PPP1R12C","Ppp1r12c","ortholog_one2one",100,100,1
"NCL","Ncl","ortholog_one2one",100,99.97,1
"ENC1","Enc1","ortholog_one2one",100,100,1
"TUBD1","Tubd1","ortholog_one2one",100,100,1
"OST4","Ost4","ortholog_one2one",100,100,1
"PODNL1","Podnl1","ortholog_one2one",100,100,1
"L2HGDH","L2hgdh","ortholog_one2one",100,100,1
"CPTP","Cptp","ortholog_one2one",100,100,1
"PHOX2B","Phox2b","ortholog_one2one",100,100,1
"OAZ1","Oaz1","ortholog_one2one",100,100,1
"NOXO1","Noxo1","ortholog_one2one",100,100,1
"WHAMM","Whamm","ortholog_one2one",100,100,1
"MYADM","Myadm","ortholog_one2one",75,100,1
"AGBL5","Agbl5","ortholog_one2one",100,100,1
"FOXO1","Foxo1","ortholog_one2one",50,100,1
"PPARGC1A","Ppargc1a","ortholog_one2one",100,100,1
"SCTR","Sctr","ortholog_one2one",100,100,1
"CCDC173","Ccdc173","ortholog_one2one",100,100,1
"MARK3","Mark3","ortholog_one2one",100,100,1
"TMEM159","Tmem159","ortholog_one2one",100,100,1
"KRT17","Krt17","ortholog_one2one",100,100,1
"ZNF282","Zfp282","ortholog_one2one",100,100,1
"PRKCG","Prkcg","ortholog_one2one",100,100,1
"GRWD1","Grwd1","ortholog_one2one",100,100,1
"NFIC","Nfic","ortholog_one2one",100,95.79,1
"KCND2","Kcnd2","ortholog_one2one",100,100,1
"HCN2","Hcn2","ortholog_one2one",100,100,1
"MED22","Med22","ortholog_one2one",100,100,1
"TNIP1","Tnip1","ortholog_one2one",50,100,1
"TBL3","Tbl3","ortholog_one2one",100,100,1
"AURKC","Aurkc","ortholog_one2one",50,0,0
"KDELR1","Kdelr1","ortholog_one2one",100,100,1
"RANBP10","Ranbp10","ortholog_one2one",100,99.27,1
"TTC21B","Ttc21b","ortholog_one2one",100,100,1
"DACT2","Dact2","ortholog_one2one",50,100,1
"MAEA","Maea","ortholog_one2one",100,98.24,1
"CGA","Cga","ortholog_one2one",50,92.79,1
"STAT5B","Stat5b","ortholog_one2one",100,100,1
"C3orf80","1110032F04Rik","ortholog_one2one",100,100,1
"RAB3IL1","Rab3il1","ortholog_one2one",100,100,1
"LRRC4C","Lrrc4c","ortholog_one2one",100,100,1
"TUT4","Tut4","ortholog_one2one",100,99.53,1
"TMEM37","Tmem37","ortholog_one2one",100,97.33,1
"ITGA4","Itga4","ortholog_one2one",100,100,1
"ATG2B","Atg2b","ortholog_one2one",100,100,1
"SMIM3","Smim3","ortholog_one2one",50,100,1
"TMEM33","Tmem33","ortholog_one2one",100,100,1
"DBI","Dbi","ortholog_one2one",100,100,0
"EPHB3","Ephb3","ortholog_one2one",100,100,1
"GRIN2D","Grin2d","ortholog_one2one",100,100,1
"TMEM248","Tmem248","ortholog_one2one",100,100,1
"IL20RA","Il20ra","ortholog_one2one",100,100,1
"TUG1","Tug1","ortholog_one2one",100,100,1
"DLGAP3","Dlgap3","ortholog_one2one",100,100,1
"ABRACL","Abracl","ortholog_one2one",100,100,1
"GAS2L1","Gas2l1","ortholog_one2one",100,100,1
"OR5B2","Olfr1451","ortholog_one2one",25,0,0
"MAPK9","Mapk9","ortholog_one2one",100,100,1
"ZNF212","Zfp212","ortholog_one2one",100,100,1
"GAREM1","Garem1","ortholog_one2one",100,100,1
"PPP1R14C","Ppp1r14c","ortholog_one2one",50,100,1
"RAMP1","Ramp1","ortholog_one2one",100,100,1
"NGEF","Ngef","ortholog_one2one",100,100,1
"AP1S3","Ap1s3","ortholog_one2one",100,95.59,1
"RPUSD1","Rpusd1","ortholog_one2one",100,100,1
"VASN","Vasn","ortholog_one2one",100,100,1
"OR9H1P","Olfr466","ortholog_one2one",0,100,1
"FASTK","Fastk","ortholog_one2one",100,100,1
"INTS11","Ints11","ortholog_one2one",100,100,1
"KYNU","Kynu","ortholog_one2one",50,100,1
"SOX15","Sox15","ortholog_one2one",100,100,1
"FAM133B","Fam133b","ortholog_one2one",75,100,1
"CD83","Cd83","ortholog_one2one",100,100,1
"ADAMTS12","Adamts12","ortholog_one2one",100,100,1
"MPDU1","Mpdu1","ortholog_one2one",100,100,1
"GSKIP","Gskip","ortholog_one2one",100,100,1
"EIF4EBP1","Eif4ebp1","ortholog_one2one",50,92.63,1
"ZNF688","Zfp688","ortholog_one2one",100,100,1
"PTPRJ","Ptprj","ortholog_one2one",100,98.37,1
"HACD4","Hacd4","ortholog_one2one",100,100,1
"SLC38A7","Slc38a7","ortholog_one2one",100,100,1
"GABRR2","Gabrr2","ortholog_one2one",100,100,1
"SMARCAL1","Smarcal1","ortholog_one2one",100,99.31,1
"KCNQ5","Kcnq5","ortholog_one2one",75,100,1
"PHC3","Phc3","ortholog_one2one",100,100,1
"LLPH","Llph","ortholog_one2one",100,100,1
"ATP2A1","Atp2a1","ortholog_one2one",100,100,1
"LRRC28","Lrrc28","ortholog_one2one",100,100,1
"HSPA4","Hspa4","ortholog_one2one",100,100,1
"FAM171A1","Fam171a1","ortholog_one2one",50,100,1
"FRMD8","Frmd8","ortholog_one2one",100,100,1
"MAP3K20","Map3k20","ortholog_one2one",100,100,1
"RILPL2","Rilpl2","ortholog_one2one",100,96.62,1
"NEUROD1","Neurod1","ortholog_one2one",100,100,1
"CYP2E1","Cyp2e1","ortholog_one2one",75,100,1
"MUC5AC","Muc5ac","ortholog_one2one",100,100,0
"ZUP1","Zup1","ortholog_one2one",0,100,1
"ZFPM2","Zfpm2","ortholog_one2one",100,100,1
"CERKL","Cerkl","ortholog_one2one",100,99.96,1
"RASL10A","Rasl10a","ortholog_one2one",100,100,1
"FOCAD","Focad","ortholog_one2one",100,100,1
"SLC9A7","Slc9a7","ortholog_one2one",100,100,1
"EPHB4","Ephb4","ortholog_one2one",100,100,1
"OBSL1","Obsl1","ortholog_one2one",100,100,1
"TRMT10C","Trmt10c","ortholog_one2one",100,100,1
"FBP1","Fbp1","ortholog_one2one",50,100,1
"ACP2","Acp2","ortholog_one2one",100,100,1
"CLDN14","Cldn14","ortholog_one2one",100,100,1
"RABEP2","Rabep2","ortholog_one2one",100,100,1
"CCDC187","Ccdc187","ortholog_one2one",100,100,0
"PUSL1","Pusl1","ortholog_one2one",100,100,1
"NEU2","Neu2","ortholog_one2one",100,98.72,1
"SMAD2","Smad2","ortholog_one2one",100,100,1
"PHOSPHO2","Phospho2","ortholog_one2one",100,100,1
"ADAM22","Adam22","ortholog_one2one",100,100,1
"ARHGEF3","Arhgef3","ortholog_one2one",100,100,1
"ZBED6","Gm38394","ortholog_one2one",100,100,1
"N6AMT1","N6amt1","ortholog_one2one",0,100,1
"BICRA","Bicra","ortholog_one2one",100,100,1
"PDZK1IP1","Pdzk1ip1","ortholog_one2one",100,100,1
"SLC35D3","Slc35d3","ortholog_one2one",100,100,1
"RNF11","Rnf11","ortholog_one2one",100,100,1
"FEZ1","Fez1","ortholog_one2one",100,100,1
"FCF1","Fcf1","ortholog_one2one",100,100,1
"IYD","Iyd","ortholog_one2one",75,94.83,1
"DOCK6","Dock6","ortholog_one2one",100,100,1
"KNCN","Kncn","ortholog_one2one",100,100,1
"ZNF213","Zfp213","ortholog_one2one",50,100,1
"RAD51","Rad51","ortholog_one2one",100,94.81,1
"ASPSCR1","Aspscr1","ortholog_one2one",100,94.42,1
"KLHL14","Klhl14","ortholog_one2one",75,100,1
"TMEM275","6430628N08Rik","ortholog_one2one",100,100,1
"ALAD","Alad","ortholog_one2one",100,100,1
"PYCARD","Pycard","ortholog_one2one",100,100,1
"CLK2","Clk2","ortholog_one2one",100,100,1
"LRRN3","Lrrn3","ortholog_one2one",100,100,1
"PNPLA6","Pnpla6","ortholog_one2one",100,100,1
"RSKR","Rskr","ortholog_one2one",100,99.52,1
"OPCML","Opcml","ortholog_one2one",100,100,1
"AREL1","Arel1","ortholog_one2one",100,100,1
"IMMP2L","Immp2l","ortholog_one2one",100,100,1
"EAF2","Eaf2","ortholog_one2one",100,100,1
"TMEM63C","Tmem63c","ortholog_one2one",100,100,1
"GJC3","Gjc3","ortholog_one2one",25,94.81,1
"IFNK","Ifnk","ortholog_one2one",50,100,0
"MOB3B","Mob3b","ortholog_one2one",50,100,1
"TRIM72","Trim72","ortholog_one2one",100,100,1
"C9","C9","ortholog_one2one",100,100,1
"PTPN6","Ptpn6","ortholog_one2one",100,100,1
"MEF2C","Mef2c","ortholog_one2one",100,100,1
"GSDMD","Gsdmd","ortholog_one2one",100,100,1
"CCDC136","Ccdc136","ortholog_one2one",100,100,1
"ESCO1","Esco1","ortholog_one2one",100,100,1
"GRHPR","Grhpr","ortholog_one2one",100,94.24,1
"OR52E2","Olfr589","ortholog_one2one",75,100,1
"BAX","Bax","ortholog_one2one",100,91.14,1
"DDB2","Ddb2","ortholog_one2one",100,100,1
"DYNC2H1","Dync2h1","ortholog_one2one",75,100,1
"EBF1","Ebf1","ortholog_one2one",100,100,1
"KAT6A","Kat6a","ortholog_one2one",100,100,1
"OR4Q3","Olfr735","ortholog_one2one",50,98.63,1
"RMDN3","Rmdn3","ortholog_one2one",100,100,1
"GREB1","Greb1","ortholog_one2one",100,100,1
"CHPF","Chpf","ortholog_one2one",75,100,1
"LINGO3","Lingo3","ortholog_one2one",100,100,1
"C12orf75","1500009L16Rik","ortholog_one2one",100,100,1
"OR52J3","Olfr592","ortholog_one2one",75,99.42,1
"RAB11FIP3","Rab11fip3","ortholog_one2one",100,88.72,1
"RHOXF1","Rhox13","ortholog_one2one",0,14.11,0
"STYK1","Styk1","ortholog_one2one",75,100,1
"HSPA12B","Hspa12b","ortholog_one2one",100,100,1
"ATP2A3","Atp2a3","ortholog_one2one",100,100,1
"GUK1","Guk1","ortholog_one2one",100,93.58,0
"TMEM198","Tmem198","ortholog_one2one",100,100,1
"SEL1L2","Sel1l2","ortholog_one2one",100,100,1
"IQCB1","Iqcb1","ortholog_one2one",100,100,1
"RPL11","Rpl11","ortholog_one2one",100,100,1
"CHRNB3","Chrnb3","ortholog_one2one",25,100,1
"BCL3","Bcl3","ortholog_one2one",100,100,1
"MEOX1","Meox1","ortholog_one2one",100,100,1
"PRADC1","Pradc1","ortholog_one2one",100,100,1
"RBM48","Rbm48","ortholog_one2one",100,100,1
"ARV1","Arv1","ortholog_one2one",100,95.18,1
"AMN1","Amn1","ortholog_one2one",100,95.38,1
"SNRNP35","Snrnp35","ortholog_one2one",100,99.24,1
"PPP1R15A","Ppp1r15a","ortholog_one2one",75,100,0
"CYP4X1","Cyp4x1","ortholog_one2one",100,100,1
"AMZ1","Amz1","ortholog_one2one",50,100,1
"C1orf232","Gm30191","ortholog_one2one",100,100,1
"MRPS33","Mrps33","ortholog_one2one",100,100,1
"NUCB1","Nucb1","ortholog_one2one",100,100,1
"SYTL1","Sytl1","ortholog_one2one",100,100,1
"RP2","Rp2","ortholog_one2one",100,100,1
"APOD","Apod","ortholog_one2one",50,97.97,1
"GATAD1","Gatad1","ortholog_one2one",100,100,1
"HOMER2","Homer2","ortholog_one2one",100,100,1
"PPP1CC","Ppp1cc","ortholog_one2one",100,100,1
"CCT7","Cct7","ortholog_one2one",100,100,1
"GABRR1","Gabrr1","ortholog_one2one",100,100,1
"BEND3","Bend3","ortholog_one2one",100,100,1
"BRF1","Brf1","ortholog_one2one",100,100,1
"SMC2","Smc2","ortholog_one2one",100,100,1
"CPEB4","Cpeb4","ortholog_one2one",100,100,1
"GNA12","Gna12","ortholog_one2one",50,100,1
"PEX1","Pex1","ortholog_one2one",100,100,1
"EIF4E1B","Eif4e1b","ortholog_one2one",100,100,1
"ANGPTL8","Angptl8","ortholog_one2one",100,100,1
"SRA1","Sra1","ortholog_one2one",100,100,1
"HOXB1","Hoxb1","ortholog_one2one",100,100,1
"ARHGAP10","Arhgap10","ortholog_one2one",100,100,1
"ABCB9","Abcb9","ortholog_one2one",100,100,1
"FAM126A","Fam126a","ortholog_one2one",50,100,1
"SLC25A3","Slc25a3","ortholog_one2one",100,100,1
"NUS1","Nus1","ortholog_one2one",100,100,1
"ZAN","Zan","ortholog_one2one",100,78.01,0
"ZNF205","Zfp13","ortholog_one2one",75,100,1
"BTBD6","Btbd6","ortholog_one2one",100,100,1
"ANGPTL3","Angptl3","ortholog_one2one",100,100,1
"RGS22","Rgs22","ortholog_one2one",100,100,1
"BMP6","Bmp6","ortholog_one2one",100,100,1
"ZCCHC10","Zcchc10","ortholog_one2one",100,94.72,1
"LIG1","Lig1","ortholog_one2one",75,100,1
"DNMT1","Dnmt1","ortholog_one2one",100,98.48,1
"IVNS1ABP","Ivns1abp","ortholog_one2one",100,100,1
"MCC","Mcc","ortholog_one2one",50,100,1
"TMEM255A","Tmem255a","ortholog_one2one",50,100,1
"ORAI1","Orai1","ortholog_one2one",100,100,1
"SLC26A3","Slc26a3","ortholog_one2one",100,100,1
"TXNDC5","Txndc5","ortholog_one2one",100,100,1
"MROH6","Mroh6","ortholog_one2one",100,100,1
"SPACA9","Spaca9","ortholog_one2one",100,100,1
"TUBA3D","Tuba3a","ortholog_one2one",0,1.68,0
"C5orf47","4930524B15Rik","ortholog_one2one",75,100,0
"SMAD5","Smad5","ortholog_one2one",100,100,1
"NTM","Ntm","ortholog_one2one",100,100,1
"MARS1","Mars1","ortholog_one2one",75,100,1
"RNF34","Rnf34","ortholog_one2one",100,100,1
"MFN2","Mfn2","ortholog_one2one",100,97.37,1
"CDK5R1","Cdk5r1","ortholog_one2one",100,100,1
"TMEM178B","Tmem178b","ortholog_one2one",100,100,0
"AC097634.4","Foxp1","ortholog_one2one",100,99.33,1
"RASAL1","Rasal1","ortholog_one2one",100,99.78,1
"ATP13A1","Atp13a1","ortholog_one2one",50,100,1
"CCDC27","Ccdc27","ortholog_one2one",100,100,0
"CENPT","Cenpt","ortholog_one2one",100,94.48,1
"TSPAN12","Tspan12","ortholog_one2one",100,100,1
"ADAMTS18","Adamts18","ortholog_one2one",100,100,1
"KDM2B","Kdm2b","ortholog_one2one",100,100,1
"CHRNA6","Chrna6","ortholog_one2one",0,100,1
"RRP8","Rrp8","ortholog_one2one",100,100,1
"RNF14","Rnf14","ortholog_one2one",100,100,1
"ZBTB33","Zbtb33","ortholog_one2one",50,100,1
"TULP2","Tulp2","ortholog_one2one",100,91.23,1
"FAM110D","Grrp1","ortholog_one2one",100,100,1
"RILPL1","Rilpl1","ortholog_one2one",100,100,1
"AZGP1","Azgp1","ortholog_one2one",0,100,1
"CDK12","Cdk12","ortholog_one2one",100,100,1
"OR11G2","Olfr738","ortholog_one2one",50,0,0
"FAM89A","Fam89a","ortholog_one2one",100,100,1
"POLE3","Pole3","ortholog_one2one",100,100,1
"CRYZL1","Cryzl1","ortholog_one2one",100,100,1
"CDC25B","Cdc25b","ortholog_one2one",100,100,1
"NBN","Nbn","ortholog_one2one",100,100,1
"EIF1","Eif1","ortholog_one2one",100,100,1
"H2AZ2","H2az2","ortholog_one2one",100,100,1
"PRPF38A","Prpf38a","ortholog_one2one",100,100,1
"RPTOR","Rptor","ortholog_one2one",100,100,1
"TSNAXIP1","Tsnaxip1","ortholog_one2one",100,100,1
"AK8","Ak8","ortholog_one2one",100,100,1
"PLEKHF1","Plekhf1","ortholog_one2one",75,100,1
"CLPB","Clpb","ortholog_one2one",100,100,1
"TAF10","Taf10","ortholog_one2one",100,100,1
"CACNG7","Cacng7","ortholog_one2one",100,100,1
"PCGF5","Pcgf5","ortholog_one2one",100,100,1
"LIN7C","Lin7c","ortholog_one2one",100,100,1
"SMIM31","Smim31","ortholog_one2one",75,100,1
"OR6B1","Olfr449","ortholog_one2one",100,100,1
"BCL11A","Bcl11a","ortholog_one2one",100,100,1
"SLF2","Slf2","ortholog_one2one",75,100,1
"ILK","Ilk","ortholog_one2one",100,100,1
"CCNG1","Ccng1","ortholog_one2one",100,100,1
"SAMD9L","Samd9l","ortholog_one2one",50,100,1
"SNRPD1","Snrpd1","ortholog_one2one",100,100,1
"ORC1","Orc1","ortholog_one2one",100,100,1
"SLCO2B1","Slco2b1","ortholog_one2one",100,100,1
"NAPG","Napg","ortholog_one2one",25,100,1
"CCDC178","Ccdc178","ortholog_one2one",100,100,0
"TARS1","Tars","ortholog_one2one",100,98.52,1
"MFSD6","Mfsd6","ortholog_one2one",100,100,1
"ODF1","Odf1","ortholog_one2one",100,100,1
"LRFN4","Lrfn4","ortholog_one2one",100,100,1
"MSI1","Msi1","ortholog_one2one",100,100,1
"C2orf76","3110009E18Rik","ortholog_one2one",100,100,1
"CACNG8","Cacng8","ortholog_one2one",100,100,1
"PC","Pcx","ortholog_one2one",100,99.99,1
"HPS6","Hps6","ortholog_one2one",100,100,1
"TGFBR1","Tgfbr1","ortholog_one2one",100,100,1
"PRR14","Prr14","ortholog_one2one",100,100,1
"ARMH3","Armh3","ortholog_one2one",100,100,1
"ZKSCAN1","Zkscan1","ortholog_one2one",75,100,1
"MYO3A","Myo3a","ortholog_one2one",100,99.94,1
"HEPACAM2","Hepacam2","ortholog_one2one",50,100,1
"CCNC","Ccnc","ortholog_one2one",75,100,1
"NME1","Nme1","ortholog_one2one",100,100,1
"SLC17A7","Slc17a7","ortholog_one2one",100,100,1
"SOST","Sost","ortholog_one2one",100,100,1
"PPCS","Ppcs","ortholog_one2one",100,100,1
"NKG7","Nkg7","ortholog_one2one",100,100,1
"SMIM32","Gm45623","ortholog_one2one",100,100,1
"CNOT4","Cnot4","ortholog_one2one",100,100,1
"CACNG6","Cacng6","ortholog_one2one",100,100,1
"SYCE1","Syce1","ortholog_one2one",50,100,1
"PEX26","Pex26","ortholog_one2one",100,100,1
"RHOBTB1","Rhobtb1","ortholog_one2one",100,100,1
"NME1-NME2","Gm20390","ortholog_one2one",100,100,1
"CCDC66","Ccdc66","ortholog_one2one",100,100,1
"NME2","Nme2","ortholog_one2one",100,100,1
"FXYD4","Fxyd4","ortholog_one2one",100,100,1
"IFT80","Ift80","ortholog_one2one",100,100,1
"ZNF689","Zfp689","ortholog_one2one",100,100,1
"DLG4","Dlg4","ortholog_one2one",100,100,1
"SMU1","Smu1","ortholog_one2one",100,100,1
"DAAM1","Daam1","ortholog_one2one",100,100,1
"ZFYVE26","Zfyve26","ortholog_one2one",100,100,1
"MRPL21","Mrpl21","ortholog_one2one",75,95.01,1
"GAST","Gast","ortholog_one2one",100,100,1
"OR2A5","Olfr448","ortholog_one2one",100,100,1
"EID2","Eid2","ortholog_one2one",100,100,1
"HECW1","Hecw1","ortholog_one2one",50,100,1
"EID2B","Eid2b","ortholog_one2one",100,100,0
"NPTX2","Nptx2","ortholog_one2one",100,100,1
"MSLNL","Mslnl","ortholog_one2one",100,100,1
"AKAP6","Akap6","ortholog_one2one",100,100,1
"LSM7","Lsm7","ortholog_one2one",100,100,1
"SPEF1","Spef1","ortholog_one2one",100,100,1
"BDH1","Bdh1","ortholog_one2one",50,100,1
"C1orf116","AA986860","ortholog_one2one",75,100,1
"MSI2","Msi2","ortholog_one2one",100,100,1
"EIF3A","Eif3a","ortholog_one2one",100,99.2,1
"RBM3","Rbm3","ortholog_one2one",100,100,1
"SMIM12","Smim12","ortholog_one2one",0,100,1
"TASOR","Tasor","ortholog_one2one",100,100,1
"IGHMBP2","Ighmbp2","ortholog_one2one",50,100,1
"OR2A25","Olfr447","ortholog_one2one",100,100,1
"DDO","Ddo","ortholog_one2one",100,100,1
"GJA4","Gja4","ortholog_one2one",100,100,1
"OR2A12","Olfr446","ortholog_one2one",75,100,1
"ITSN1","Itsn1","ortholog_one2one",100,100,1
"YBX3","Ybx3","ortholog_one2one",100,100,1
"CD47","Cd47","ortholog_one2one",100,100,1
"LTBR","Ltbr","ortholog_one2one",100,100,1
"BHLHA9","Bhlha9","ortholog_one2one",75,100,1
"ALG2","Alg2","ortholog_one2one",100,100,1
"TRARG1","Trarg1","ortholog_one2one",50,100,1
"C9orf43","4933430I17Rik","ortholog_one2one",100,99.67,0
"RIMKLA","Rimkla","ortholog_one2one",100,100,1
"SYNRG","Synrg","ortholog_one2one",100,100,1
"AL353572.3","Gm47429","ortholog_one2one",25,100,1
"TUBA8","Tuba8","ortholog_one2one",75,100,1
"RIC8A","Ric8a","ortholog_one2one",100,100,1
"CAMK2G","Camk2g","ortholog_one2one",100,100,1
"MCMDC2","Mcmdc2","ortholog_one2one",100,100,1
"CENPB","Cenpb","ortholog_one2one",100,100,1
"MTRES1","Mtres1","ortholog_one2one",100,99.82,1
"KITLG","Kitl","ortholog_one2one",75,100,1
"ZMYND12","Zmynd12","ortholog_one2one",100,100,1
"C20orf27","1700037H04Rik","ortholog_one2one",100,100,1
"C1orf185","4930522H14Rik","ortholog_one2one",100,97.74,0
"TNFSF4","Tnfsf4","ortholog_one2one",100,100,0
"SELENOV","Selenov","ortholog_one2one",100,100,0
"UVSSA","Uvssa","ortholog_one2one",100,95.53,1
"PTPRU","Ptpru","ortholog_one2one",100,100,1
"ADCYAP1R1","Adcyap1r1","ortholog_one2one",100,100,1
"GABRG2","Gabrg2","ortholog_one2one",100,97.32,1
"DCTN4","Dctn4","ortholog_one2one",75,100,1
"MYH11","Myh11","ortholog_one2one",100,100,1
"MAB21L1","Mab21l1","ortholog_one2one",75,100,1
"TNFSF18","Tnfsf18","ortholog_one2one",100,100,0
"INTU","Intu","ortholog_one2one",100,100,1
"HNRNPA3","Hnrnpa3","ortholog_one2one",100,100,1
"NBEA","Nbea","ortholog_one2one",75,100,1
"PURB","Purb","ortholog_one2one",100,100,1
"SKOR2","Skor2","ortholog_one2one",100,100,1
"OR11H6","Olfr745","ortholog_one2one",25,100,1
"TMEM68","Tmem68","ortholog_one2one",50,100,1
"ZNF541","Zfp541","ortholog_one2one",100,96.97,1
"DMAC2L","Dmac2l","ortholog_one2one",100,100,0
"PRMT9","Prmt9","ortholog_one2one",100,100,1
"WDCP","Wdcp","ortholog_one2one",100,98.35,1
"TMED2","Tmed2","ortholog_one2one",100,100,1
"SPECC1","Specc1","ortholog_one2one",50,100,1
"CFAP97D1","Cfap97d1","ortholog_one2one",100,100,1
"SYNPR","Synpr","ortholog_one2one",100,100,1
"ULK1","Ulk1","ortholog_one2one",50,99.86,1
"NSG2","Nsg2","ortholog_one2one",50,100,1
"ATP1B4","Atp1b4","ortholog_one2one",100,100,1
"SIDT1","Sidt1","ortholog_one2one",100,100,1
