"gene.name","human.gene.name","human.homology.type","human.gene.order.conservation.score","human.whole.genome.alignment.coverage","human.orthology.confidence..0.low..1.high."
"Txndc9","TXNDC9","ortholog_one2one",100,100,1
"Olfr587-ps1","OR51L1","ortholog_one2one",25,100,0
"Zfp612","ZNF23","ortholog_one2one",100,100,1
"Lhfpl2","LHFPL2","ortholog_one2one",100,100,1
"Helt","HELT","ortholog_one2one",100,100,1
"Etv1","ETV1","ortholog_one2one",100,100,1
"Mep1b","MEP1B","ortholog_one2one",100,100,1
"Ppp1r12c","PPP1R12C","ortholog_one2one",100,100,1
"Ncl","NCL","ortholog_one2one",100,99.97,1
"Enc1","ENC1","ortholog_one2one",100,100,1
"Tubd1","TUBD1","ortholog_one2one",100,100,1
"Ost4","OST4","ortholog_one2one",100,100,1
"Podnl1","PODNL1","ortholog_one2one",100,100,1
"L2hgdh","L2HGDH","ortholog_one2one",100,100,1
"Cptp","CPTP","ortholog_one2one",100,100,1
"Phox2b","PHOX2B","ortholog_one2one",100,100,1
"Oaz1","OAZ1","ortholog_one2one",100,100,1
"Noxo1","NOXO1","ortholog_one2one",100,100,1
"Whamm","WHAMM","ortholog_one2one",100,100,1
"Myadm","MYADM","ortholog_one2one",75,100,1
"Agbl5","AGBL5","ortholog_one2one",100,100,1
"Foxo1","FOXO1","ortholog_one2one",50,100,1
"Ppargc1a","PPARGC1A","ortholog_one2one",100,100,1
"Sctr","SCTR","ortholog_one2one",100,100,1
"Ccdc173","CCDC173","ortholog_one2one",100,100,1
"Mark3","MARK3","ortholog_one2one",100,100,1
"Tmem159","TMEM159","ortholog_one2one",100,100,1
"Krt17","KRT17","ortholog_one2one",100,100,1
"Zfp282","ZNF282","ortholog_one2one",100,100,1
"Prkcg","PRKCG","ortholog_one2one",100,100,1
"Grwd1","GRWD1","ortholog_one2one",100,100,1
"Nfic","NFIC","ortholog_one2one",100,95.79,1
"Kcnd2","KCND2","ortholog_one2one",100,100,1
"Hcn2","HCN2","ortholog_one2one",100,100,1
"Med22","MED22","ortholog_one2one",100,100,1
"Tnip1","TNIP1","ortholog_one2one",50,100,1
"Tbl3","TBL3","ortholog_one2one",100,100,1
"Aurkc","AURKC","ortholog_one2one",50,0,0
"Kdelr1","KDELR1","ortholog_one2one",100,100,1
"Ranbp10","RANBP10","ortholog_one2one",100,99.27,1
"Ttc21b","TTC21B","ortholog_one2one",100,100,1
"Dact2","DACT2","ortholog_one2one",50,100,1
"Maea","MAEA","ortholog_one2one",100,98.24,1
"Cga","CGA","ortholog_one2one",50,92.79,1
"Stat5b","STAT5B","ortholog_one2one",100,100,1
"1110032F04Rik","C3orf80","ortholog_one2one",100,100,1
"Rab3il1","RAB3IL1","ortholog_one2one",100,100,1
"Lrrc4c","LRRC4C","ortholog_one2one",100,100,1
"Tut4","TUT4","ortholog_one2one",100,99.53,1
"Tmem37","TMEM37","ortholog_one2one",100,97.33,1
"Itga4","ITGA4","ortholog_one2one",100,100,1
"Atg2b","ATG2B","ortholog_one2one",100,100,1
"Smim3","SMIM3","ortholog_one2one",50,100,1
"Tmem33","TMEM33","ortholog_one2one",100,100,1
"Dbi","DBI","ortholog_one2one",100,100,0
"Ephb3","EPHB3","ortholog_one2one",100,100,1
"Grin2d","GRIN2D","ortholog_one2one",100,100,1
"Tmem248","TMEM248","ortholog_one2one",100,100,1
"Il20ra","IL20RA","ortholog_one2one",100,100,1
"Tug1","TUG1","ortholog_one2one",100,100,1
"Dlgap3","DLGAP3","ortholog_one2one",100,100,1
"Abracl","ABRACL","ortholog_one2one",100,100,1
"Gas2l1","GAS2L1","ortholog_one2one",100,100,1
"Olfr1451","OR5B2","ortholog_one2one",25,0,0
"Mapk9","MAPK9","ortholog_one2one",100,100,1
"Zfp212","ZNF212","ortholog_one2one",100,100,1
"Garem1","GAREM1","ortholog_one2one",100,100,1
"Ppp1r14c","PPP1R14C","ortholog_one2one",50,100,1
"Ramp1","RAMP1","ortholog_one2one",100,100,1
"Ngef","NGEF","ortholog_one2one",100,100,1
"Ap1s3","AP1S3","ortholog_one2one",100,95.59,1
"Rpusd1","RPUSD1","ortholog_one2one",100,100,1
"Vasn","VASN","ortholog_one2one",100,100,1
"Olfr466","OR9H1P","ortholog_one2one",0,100,1
"Fastk","FASTK","ortholog_one2one",100,100,1
"Ints11","INTS11","ortholog_one2one",100,100,1
"Kynu","KYNU","ortholog_one2one",50,100,1
"Sox15","SOX15","ortholog_one2one",100,100,1
"Fam133b","FAM133B","ortholog_one2one",75,100,1
"Cd83","CD83","ortholog_one2one",100,100,1
"Adamts12","ADAMTS12","ortholog_one2one",100,100,1
"Mpdu1","MPDU1","ortholog_one2one",100,100,1
"Gskip","GSKIP","ortholog_one2one",100,100,1
"Eif4ebp1","EIF4EBP1","ortholog_one2one",50,92.63,1
"Zfp688","ZNF688","ortholog_one2one",100,100,1
"Ptprj","PTPRJ","ortholog_one2one",100,98.37,1
"Hacd4","HACD4","ortholog_one2one",100,100,1
"Slc38a7","SLC38A7","ortholog_one2one",100,100,1
"Gabrr2","GABRR2","ortholog_one2one",100,100,1
"Smarcal1","SMARCAL1","ortholog_one2one",100,99.31,1
"Kcnq5","KCNQ5","ortholog_one2one",75,100,1
"Phc3","PHC3","ortholog_one2one",100,100,1
"Llph","LLPH","ortholog_one2one",100,100,1
"Atp2a1","ATP2A1","ortholog_one2one",100,100,1
"Lrrc28","LRRC28","ortholog_one2one",100,100,1
"Hspa4","HSPA4","ortholog_one2one",100,100,1
"Fam171a1","FAM171A1","ortholog_one2one",50,100,1
"Frmd8","FRMD8","ortholog_one2one",100,100,1
"Map3k20","MAP3K20","ortholog_one2one",100,100,1
"Rilpl2","RILPL2","ortholog_one2one",100,96.62,1
"Neurod1","NEUROD1","ortholog_one2one",100,100,1
"Cyp2e1","CYP2E1","ortholog_one2one",75,100,1
"Muc5ac","MUC5AC","ortholog_one2one",100,100,0
"Zup1","ZUP1","ortholog_one2one",0,100,1
"Zfpm2","ZFPM2","ortholog_one2one",100,100,1
"Cerkl","CERKL","ortholog_one2one",100,99.96,1
"Rasl10a","RASL10A","ortholog_one2one",100,100,1
"Focad","FOCAD","ortholog_one2one",100,100,1
"Slc9a7","SLC9A7","ortholog_one2one",100,100,1
"Ephb4","EPHB4","ortholog_one2one",100,100,1
"Obsl1","OBSL1","ortholog_one2one",100,100,1
"Trmt10c","TRMT10C","ortholog_one2one",100,100,1
"Fbp1","FBP1","ortholog_one2one",50,100,1
"Acp2","ACP2","ortholog_one2one",100,100,1
"Cldn14","CLDN14","ortholog_one2one",100,100,1
"Rabep2","RABEP2","ortholog_one2one",100,100,1
"Ccdc187","CCDC187","ortholog_one2one",100,100,0
"Pusl1","PUSL1","ortholog_one2one",100,100,1
"Neu2","NEU2","ortholog_one2one",100,98.72,1
"Smad2","SMAD2","ortholog_one2one",100,100,1
"Phospho2","PHOSPHO2","ortholog_one2one",100,100,1
"Adam22","ADAM22","ortholog_one2one",100,100,1
"Arhgef3","ARHGEF3","ortholog_one2one",100,100,1
"Gm38394","ZBED6","ortholog_one2one",100,100,1
"N6amt1","N6AMT1","ortholog_one2one",0,100,1
"Bicra","BICRA","ortholog_one2one",100,100,1
"Pdzk1ip1","PDZK1IP1","ortholog_one2one",100,100,1
"Slc35d3","SLC35D3","ortholog_one2one",100,100,1
"Rnf11","RNF11","ortholog_one2one",100,100,1
"Fez1","FEZ1","ortholog_one2one",100,100,1
"Fcf1","FCF1","ortholog_one2one",100,100,1
"Iyd","IYD","ortholog_one2one",75,94.83,1
"Dock6","DOCK6","ortholog_one2one",100,100,1
"Kncn","KNCN","ortholog_one2one",100,100,1
"Zfp213","ZNF213","ortholog_one2one",50,100,1
"Rad51","RAD51","ortholog_one2one",100,94.81,1
"Aspscr1","ASPSCR1","ortholog_one2one",100,94.42,1
"Klhl14","KLHL14","ortholog_one2one",75,100,1
"6430628N08Rik","TMEM275","ortholog_one2one",100,100,1
"Alad","ALAD","ortholog_one2one",100,100,1
"Pycard","PYCARD","ortholog_one2one",100,100,1
"Clk2","CLK2","ortholog_one2one",100,100,1
"Lrrn3","LRRN3","ortholog_one2one",100,100,1
"Pnpla6","PNPLA6","ortholog_one2one",100,100,1
"Rskr","RSKR","ortholog_one2one",100,99.52,1
"Opcml","OPCML","ortholog_one2one",100,100,1
"Arel1","AREL1","ortholog_one2one",100,100,1
"Immp2l","IMMP2L","ortholog_one2one",100,100,1
"Eaf2","EAF2","ortholog_one2one",100,100,1
"Tmem63c","TMEM63C","ortholog_one2one",100,100,1
"Gjc3","GJC3","ortholog_one2one",25,94.81,1
"Ifnk","IFNK","ortholog_one2one",50,100,0
"Mob3b","MOB3B","ortholog_one2one",50,100,1
"Trim72","TRIM72","ortholog_one2one",100,100,1
"C9","C9","ortholog_one2one",100,100,1
"Ptpn6","PTPN6","ortholog_one2one",100,100,1
"Mef2c","MEF2C","ortholog_one2one",100,100,1
"Gsdmd","GSDMD","ortholog_one2one",100,100,1
"Ccdc136","CCDC136","ortholog_one2one",100,100,1
"Esco1","ESCO1","ortholog_one2one",100,100,1
"Grhpr","GRHPR","ortholog_one2one",100,94.24,1
"Olfr589","OR52E2","ortholog_one2one",75,100,1
"Bax","BAX","ortholog_one2one",100,91.14,1
"Ddb2","DDB2","ortholog_one2one",100,100,1
"Dync2h1","DYNC2H1","ortholog_one2one",75,100,1
"Ebf1","EBF1","ortholog_one2one",100,100,1
"Kat6a","KAT6A","ortholog_one2one",100,100,1
"Olfr735","OR4Q3","ortholog_one2one",50,98.63,1
"Rmdn3","RMDN3","ortholog_one2one",100,100,1
"Greb1","GREB1","ortholog_one2one",100,100,1
"Chpf","CHPF","ortholog_one2one",75,100,1
"Lingo3","LINGO3","ortholog_one2one",100,100,1
"1500009L16Rik","C12orf75","ortholog_one2one",100,100,1
"Olfr592","OR52J3","ortholog_one2one",75,99.42,1
"Rab11fip3","RAB11FIP3","ortholog_one2one",100,88.72,1
"Rhox13","RHOXF1","ortholog_one2one",0,14.11,0
"Styk1","STYK1","ortholog_one2one",75,100,1
"Hspa12b","HSPA12B","ortholog_one2one",100,100,1
"Atp2a3","ATP2A3","ortholog_one2one",100,100,1
"Guk1","GUK1","ortholog_one2one",100,93.58,0
"Tmem198","TMEM198","ortholog_one2one",100,100,1
"Sel1l2","SEL1L2","ortholog_one2one",100,100,1
"Iqcb1","IQCB1","ortholog_one2one",100,100,1
"Rpl11","RPL11","ortholog_one2one",100,100,1
"Chrnb3","CHRNB3","ortholog_one2one",25,100,1
"Bcl3","BCL3","ortholog_one2one",100,100,1
"Meox1","MEOX1","ortholog_one2one",100,100,1
"Pradc1","PRADC1","ortholog_one2one",100,100,1
"Rbm48","RBM48","ortholog_one2one",100,100,1
"Arv1","ARV1","ortholog_one2one",100,95.18,1
"Amn1","AMN1","ortholog_one2one",100,95.38,1
"Snrnp35","SNRNP35","ortholog_one2one",100,99.24,1
"Ppp1r15a","PPP1R15A","ortholog_one2one",75,100,0
"Cyp4x1","CYP4X1","ortholog_one2one",100,100,1
"Amz1","AMZ1","ortholog_one2one",50,100,1
"Gm30191","C1orf232","ortholog_one2one",100,100,1
"Mrps33","MRPS33","ortholog_one2one",100,100,1
"Nucb1","NUCB1","ortholog_one2one",100,100,1
"Sytl1","SYTL1","ortholog_one2one",100,100,1
"Rp2","RP2","ortholog_one2one",100,100,1
"Apod","APOD","ortholog_one2one",50,97.97,1
"Gatad1","GATAD1","ortholog_one2one",100,100,1
"Homer2","HOMER2","ortholog_one2one",100,100,1
"Ppp1cc","PPP1CC","ortholog_one2one",100,100,1
"Cct7","CCT7","ortholog_one2one",100,100,1
"Gabrr1","GABRR1","ortholog_one2one",100,100,1
"Bend3","BEND3","ortholog_one2one",100,100,1
"Brf1","BRF1","ortholog_one2one",100,100,1
"Smc2","SMC2","ortholog_one2one",100,100,1
"Cpeb4","CPEB4","ortholog_one2one",100,100,1
"Gna12","GNA12","ortholog_one2one",50,100,1
"Pex1","PEX1","ortholog_one2one",100,100,1
"Eif4e1b","EIF4E1B","ortholog_one2one",100,100,1
"Angptl8","ANGPTL8","ortholog_one2one",100,100,1
"Sra1","SRA1","ortholog_one2one",100,100,1
"Hoxb1","HOXB1","ortholog_one2one",100,100,1
"Arhgap10","ARHGAP10","ortholog_one2one",100,100,1
"Abcb9","ABCB9","ortholog_one2one",100,100,1
"Fam126a","FAM126A","ortholog_one2one",50,100,1
"Slc25a3","SLC25A3","ortholog_one2one",100,100,1
"Nus1","NUS1","ortholog_one2one",100,100,1
"Zan","ZAN","ortholog_one2one",100,78.01,0
"Zfp13","ZNF205","ortholog_one2one",75,100,1
"Btbd6","BTBD6","ortholog_one2one",100,100,1
"Angptl3","ANGPTL3","ortholog_one2one",100,100,1
"Rgs22","RGS22","ortholog_one2one",100,100,1
"Bmp6","BMP6","ortholog_one2one",100,100,1
"Zcchc10","ZCCHC10","ortholog_one2one",100,94.72,1
"Lig1","LIG1","ortholog_one2one",75,100,1
"Dnmt1","DNMT1","ortholog_one2one",100,98.48,1
"Ivns1abp","IVNS1ABP","ortholog_one2one",100,100,1
"Mcc","MCC","ortholog_one2one",50,100,1
"Tmem255a","TMEM255A","ortholog_one2one",50,100,1
"Orai1","ORAI1","ortholog_one2one",100,100,1
"Slc26a3","SLC26A3","ortholog_one2one",100,100,1
"Txndc5","TXNDC5","ortholog_one2one",100,100,1
"Mroh6","MROH6","ortholog_one2one",100,100,1
"Spaca9","SPACA9","ortholog_one2one",100,100,1
"Tuba3a","TUBA3D","ortholog_one2one",0,1.68,0
"4930524B15Rik","C5orf47","ortholog_one2one",75,100,0
"Smad5","SMAD5","ortholog_one2one",100,100,1
"Ntm","NTM","ortholog_one2one",100,100,1
"Mars1","MARS1","ortholog_one2one",75,100,1
"Rnf34","RNF34","ortholog_one2one",100,100,1
"Mfn2","MFN2","ortholog_one2one",100,97.37,1
"Cdk5r1","CDK5R1","ortholog_one2one",100,100,1
"Tmem178b","TMEM178B","ortholog_one2one",100,100,0
"Foxp1","AC097634.4","ortholog_one2one",100,99.33,1
"Rasal1","RASAL1","ortholog_one2one",100,99.78,1
"Atp13a1","ATP13A1","ortholog_one2one",50,100,1
"Ccdc27","CCDC27","ortholog_one2one",100,100,0
"Cenpt","CENPT","ortholog_one2one",100,94.48,1
"Tspan12","TSPAN12","ortholog_one2one",100,100,1
"Adamts18","ADAMTS18","ortholog_one2one",100,100,1
"Kdm2b","KDM2B","ortholog_one2one",100,100,1
"Chrna6","CHRNA6","ortholog_one2one",0,100,1
"Rrp8","RRP8","ortholog_one2one",100,100,1
"Rnf14","RNF14","ortholog_one2one",100,100,1
"Zbtb33","ZBTB33","ortholog_one2one",50,100,1
"Tulp2","TULP2","ortholog_one2one",100,91.23,1
"Grrp1","FAM110D","ortholog_one2one",100,100,1
"Rilpl1","RILPL1","ortholog_one2one",100,100,1
"Azgp1","AZGP1","ortholog_one2one",0,100,1
"Cdk12","CDK12","ortholog_one2one",100,100,1
"Olfr738","OR11G2","ortholog_one2one",50,0,0
"Fam89a","FAM89A","ortholog_one2one",100,100,1
"Pole3","POLE3","ortholog_one2one",100,100,1
"Cryzl1","CRYZL1","ortholog_one2one",100,100,1
"Cdc25b","CDC25B","ortholog_one2one",100,100,1
"Nbn","NBN","ortholog_one2one",100,100,1
"Eif1","EIF1","ortholog_one2one",100,100,1
"H2az2","H2AZ2","ortholog_one2one",100,100,1
"Prpf38a","PRPF38A","ortholog_one2one",100,100,1
"Rptor","RPTOR","ortholog_one2one",100,100,1
"Tsnaxip1","TSNAXIP1","ortholog_one2one",100,100,1
"Ak8","AK8","ortholog_one2one",100,100,1
"Plekhf1","PLEKHF1","ortholog_one2one",75,100,1
"Clpb","CLPB","ortholog_one2one",100,100,1
"Taf10","TAF10","ortholog_one2one",100,100,1
"Cacng7","CACNG7","ortholog_one2one",100,100,1
"Pcgf5","PCGF5","ortholog_one2one",100,100,1
"Lin7c","LIN7C","ortholog_one2one",100,100,1
"Smim31","SMIM31","ortholog_one2one",75,100,1
"Olfr449","OR6B1","ortholog_one2one",100,100,1
"Bcl11a","BCL11A","ortholog_one2one",100,100,1
"Slf2","SLF2","ortholog_one2one",75,100,1
"Ilk","ILK","ortholog_one2one",100,100,1
"Ccng1","CCNG1","ortholog_one2one",100,100,1
"Samd9l","SAMD9L","ortholog_one2one",50,100,1
"Snrpd1","SNRPD1","ortholog_one2one",100,100,1
"Orc1","ORC1","ortholog_one2one",100,100,1
"Slco2b1","SLCO2B1","ortholog_one2one",100,100,1
"Napg","NAPG","ortholog_one2one",25,100,1
"Ccdc178","CCDC178","ortholog_one2one",100,100,0
"Tars","TARS1","ortholog_one2one",100,98.52,1
"Mfsd6","MFSD6","ortholog_one2one",100,100,1
"Odf1","ODF1","ortholog_one2one",100,100,1
"Lrfn4","LRFN4","ortholog_one2one",100,100,1
"Msi1","MSI1","ortholog_one2one",100,100,1
"3110009E18Rik","C2orf76","ortholog_one2one",100,100,1
"Cacng8","CACNG8","ortholog_one2one",100,100,1
"Pcx","PC","ortholog_one2one",100,99.99,1
"Hps6","HPS6","ortholog_one2one",100,100,1
"Tgfbr1","TGFBR1","ortholog_one2one",100,100,1
"Prr14","PRR14","ortholog_one2one",100,100,1
"Armh3","ARMH3","ortholog_one2one",100,100,1
"Zkscan1","ZKSCAN1","ortholog_one2one",75,100,1
"Myo3a","MYO3A","ortholog_one2one",100,99.94,1
"Hepacam2","HEPACAM2","ortholog_one2one",50,100,1
"Ccnc","CCNC","ortholog_one2one",75,100,1
"Nme1","NME1","ortholog_one2one",100,100,1
"Slc17a7","SLC17A7","ortholog_one2one",100,100,1
"Sost","SOST","ortholog_one2one",100,100,1
"Ppcs","PPCS","ortholog_one2one",100,100,1
"Nkg7","NKG7","ortholog_one2one",100,100,1
"Gm45623","SMIM32","ortholog_one2one",100,100,1
"Cnot4","CNOT4","ortholog_one2one",100,100,1
"Cacng6","CACNG6","ortholog_one2one",100,100,1
"Syce1","SYCE1","ortholog_one2one",50,100,1
"Pex26","PEX26","ortholog_one2one",100,100,1
"Rhobtb1","RHOBTB1","ortholog_one2one",100,100,1
"Gm20390","NME1-NME2","ortholog_one2one",100,100,1
"Ccdc66","CCDC66","ortholog_one2one",100,100,1
"Nme2","NME2","ortholog_one2one",100,100,1
"Fxyd4","FXYD4","ortholog_one2one",100,100,1
"Ift80","IFT80","ortholog_one2one",100,100,1
"Zfp689","ZNF689","ortholog_one2one",100,100,1
"Dlg4","DLG4","ortholog_one2one",100,100,1
"Smu1","SMU1","ortholog_one2one",100,100,1
"Daam1","DAAM1","ortholog_one2one",100,100,1
"Zfyve26","ZFYVE26","ortholog_one2one",100,100,1
"Mrpl21","MRPL21","ortholog_one2one",75,95.01,1
"Gast","GAST","ortholog_one2one",100,100,1
"Olfr448","OR2A5","ortholog_one2one",100,100,1
"Eid2","EID2","ortholog_one2one",100,100,1
"Hecw1","HECW1","ortholog_one2one",50,100,1
"Eid2b","EID2B","ortholog_one2one",100,100,0
"Nptx2","NPTX2","ortholog_one2one",100,100,1
"Mslnl","MSLNL","ortholog_one2one",100,100,1
"Akap6","AKAP6","ortholog_one2one",100,100,1
"Lsm7","LSM7","ortholog_one2one",100,100,1
"Spef1","SPEF1","ortholog_one2one",100,100,1
"Bdh1","BDH1","ortholog_one2one",50,100,1
"AA986860","C1orf116","ortholog_one2one",75,100,1
"Msi2","MSI2","ortholog_one2one",100,100,1
"Eif3a","EIF3A","ortholog_one2one",100,99.2,1
"Rbm3","RBM3","ortholog_one2one",100,100,1
"Smim12","SMIM12","ortholog_one2one",0,100,1
"Tasor","TASOR","ortholog_one2one",100,100,1
"Ighmbp2","IGHMBP2","ortholog_one2one",50,100,1
"Olfr447","OR2A25","ortholog_one2one",100,100,1
"Ddo","DDO","ortholog_one2one",100,100,1
"Gja4","GJA4","ortholog_one2one",100,100,1
"Olfr446","OR2A12","ortholog_one2one",75,100,1
"Itsn1","ITSN1","ortholog_one2one",100,100,1
"Ybx3","YBX3","ortholog_one2one",100,100,1
"Cd47","CD47","ortholog_one2one",100,100,1
"Ltbr","LTBR","ortholog_one2one",100,100,1
"Bhlha9","BHLHA9","ortholog_one2one",75,100,1
"Alg2","ALG2","ortholog_one2one",100,100,1
"Trarg1","TRARG1","ortholog_one2one",50,100,1
"4933430I17Rik","C9orf43","ortholog_one2one",100,99.67,0
"Rimkla","RIMKLA","ortholog_one2one",100,100,1
"Synrg","SYNRG","ortholog_one2one",100,100,1
"Gm47429","AL353572.3","ortholog_one2one",25,100,1
"Tuba8","TUBA8","ortholog_one2one",75,100,1
"Ric8a","RIC8A","ortholog_one2one",100,100,1
"Camk2g","CAMK2G","ortholog_one2one",100,100,1
"Mcmdc2","MCMDC2","ortholog_one2one",100,100,1
"Cenpb","CENPB","ortholog_one2one",100,100,1
"Mtres1","MTRES1","ortholog_one2one",100,99.82,1
"Kitl","KITLG","ortholog_one2one",75,100,1
"Zmynd12","ZMYND12","ortholog_one2one",100,100,1
"1700037H04Rik","C20orf27","ortholog_one2one",100,100,1
"4930522H14Rik","C1orf185","ortholog_one2one",100,97.74,0
"Tnfsf4","TNFSF4","ortholog_one2one",100,100,0
"Selenov","SELENOV","ortholog_one2one",100,100,0
"Uvssa","UVSSA","ortholog_one2one",100,95.53,1
"Ptpru","PTPRU","ortholog_one2one",100,100,1
"Adcyap1r1","ADCYAP1R1","ortholog_one2one",100,100,1
"Gabrg2","GABRG2","ortholog_one2one",100,97.32,1
"Dctn4","DCTN4","ortholog_one2one",75,100,1
"Myh11","MYH11","ortholog_one2one",100,100,1
"Mab21l1","MAB21L1","ortholog_one2one",75,100,1
"Tnfsf18","TNFSF18","ortholog_one2one",100,100,0
"Intu","INTU","ortholog_one2one",100,100,1
"Hnrnpa3","HNRNPA3","ortholog_one2one",100,100,1
"Nbea","NBEA","ortholog_one2one",75,100,1
"Purb","PURB","ortholog_one2one",100,100,1
"Skor2","SKOR2","ortholog_one2one",100,100,1
"Olfr745","OR11H6","ortholog_one2one",25,100,1
"Tmem68","TMEM68","ortholog_one2one",50,100,1
"Zfp541","ZNF541","ortholog_one2one",100,96.97,1
"Dmac2l","DMAC2L","ortholog_one2one",100,100,0
"Prmt9","PRMT9","ortholog_one2one",100,100,1
"Wdcp","WDCP","ortholog_one2one",100,98.35,1
"Tmed2","TMED2","ortholog_one2one",100,100,1
"Specc1","SPECC1","ortholog_one2one",50,100,1
"Cfap97d1","CFAP97D1","ortholog_one2one",100,100,1
"Synpr","SYNPR","ortholog_one2one",100,100,1
"Ulk1","ULK1","ortholog_one2one",50,99.86,1
"Nsg2","NSG2","ortholog_one2one",50,100,1
"Atp1b4","ATP1B4","ortholog_one2one",100,100,1
"Sidt1","SIDT1","ortholog_one2one",100,100,1
